protein,ligand,short_name,category,DG,distance,is_productive
A14,3_propylaldehyde,propylaldehyde,Short-chain,-6.07,1.109,True
A14,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.69,10.24,False
A14,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.13,11.081,False
A14,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.07,8.23,False
A14,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-6.19,4.089,False
A14,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.39,6.654,False
A14,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.64,5.663,False
A14,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.16,4.247,False
A14,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.3,2.904,True
A14,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.3,9.599,False
A14,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.59,3.458,True
A14,4_malonaldehyde,malonaldehyde,Short-chain,-6.09,2.983,True
A14,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-7.29,14.252,False
A14,52_Triose phosphate,Triose phosphate,Other,-6.31,8.896,False
A14,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-6.89,12.748,False
A14,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-7.57,2.991,True
A14,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-7.5,15.727,False
A14,5_butyraldehyde,butyraldehyde,Short-chain,-6.39,0.95,True
A14,60_S-Formylglutathione,S-formyl-GSH,Other,-7.08,4.527,False
A14,6_amylaldehyde,amylaldehyde,Short-chain,-6.63,1.828,True
A14,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.36,7.531,False
A14,8_hexanal,hexanal,Medium-chain,-6.6,3.84,True
A14,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-6.04,1.904,True
A8,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-5.92,2.365,True
A8,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-6.0,2.256,True
A8,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-5.99,2.056,True
