protein,ligand,rank1_confidence,DG_prediction_kcalmol,prodigy_rc
A14,15_heptanal,-1.21,-7.03,0
A14,16_octanaldehyde,-0.77,-7.44,0
A14,17_nonanal,-0.52,-7.07,0
A14,18_decanal,-0.59,-7.5,0
A14,19_dodecanal,-1.07,-7.69,0
A14,1_formaldehyde,0.33,-5.42,0
A14,20_Citral,-2.24,-8.04,0
A14,21_cis-2-Octenal,-1.3,-7.46,0
A14,22_trans-2-Octenal,-0.48,-7.09,0
A14,23_4-Hydroxynonenal,-0.99,-7.06,0
A14,24_Tetradecanal,-0.63,-7.88,0
A14,25_hexadecanal,-1.14,-8.47,0
A14,26_trans-2-hexadecenal,-1.23,-8.55,0
A14,27_Benzaldehyde,-0.95,-5.89,0
A14,28_Phenylacetaldehyde,-1.91,-7.33,0
A14,29_Salicylaldehyde,-1.48,-7.18,0
A14,2_acetaldehyde,0.44,-5.63,0
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-1.01,-7.64,0
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-0.59,-9.33,0
A14,32_9-cis-Retinal,-1.02,-8.82,0
A14,33_11-cis-Retinol,-1.03,-8.71,0
A14,34_4-hydroxy-2-nonenal,-0.46,-7.28,0
A14,35_Cinnamaldehyde,-1.2,-7.04,0
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,-0.65,-8.04,0
A14,37_thiobenzaldehyde,-0.52,-6.97,0
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.74,-6.68,0
A14,39_4-nitrobenzaldehyde,-1.51,-6.69,0
A14,3_propylaldehyde,-0.1,-6.07,0
A14,40_Furan-2-carbaldehyde,-0.54,-7.69,0
A14,41_Indole-3-acetaldehyde,-0.43,-7.13,0
A14,42_Glutamate-5-semialdehyde,-0.77,-6.07,0
A14,43_Glutamate-1-semialdehyde,-0.55,-6.19,0
A14,44_glutarate semialdehyde,-0.52,-6.39,0
A14,45_adipate semialdehyde,-0.43,-6.64,0
A14,46_Succinic semialdehyde,-0.5,-6.16,0
A14,47_methylmalonate semialdehyde,-0.9,-6.3,0
A14,48_alpha-aminoadipate semialdehyde,-0.3,-6.3,0
A14,49_2-Aminomuconic semialdehyde,-0.72,-6.59,0
A14,4_malonaldehyde,-0.53,-6.09,0
A14,50_10-formyltetrahydrofolate,-1.05,-7.29,0
A14,51_6R-Tetrahydrofolic acid,-1.54,-8.44,0
A14,52_Triose phosphate,-0.45,-6.31,0
A14,53_Pyridoxal phosphate,-0.48,-6.89,0
A14,55_Ethanol,-0.28,-5.78,0
A14,56_S-hydroxy-methylglutathione,-0.65,-6.98,0
A14,57_S-3-oxopropylglutathione,-1.15,-7.57,0
A14,58_S-(4-oxobutan-2-yl)glutathione,-1.44,-7.5,0
A14,59_4-Hydroxynonenal_glutathione,-0.83,-8.84,0
A14,5_butyraldehyde,-0.61,-6.39,0
A14,60_S-Formylglutathione,-0.79,-7.08,0
A14,6_amylaldehyde,-1.07,-6.63,0
A14,7_glutaraldehyde,-0.64,-6.36,0
A14,8_hexanal,-0.57,-6.6,0
A14,9_2-hydroxypropionaldehyde,-0.39,-6.04,0
A8,10_4-guanidinobutyraldehyde,-0.27,-5.92,0
A8,11_prop-2-enal,0.31,-6.0,0
A8,12_prop-2-ynal,-0.07,-5.99,0
A8,13_(2E)-but-2-enal,0.16,-6.27,0
A8,14_trans-2-Hexenal,0.1,-6.79,0
A8,15_heptanal,-0.13,-6.98,0
A8,16_octanaldehyde,-0.32,-7.2,0
A8,17_nonanal,-0.39,-7.5,0
A8,18_decanal,-0.53,-7.74,0
A8,19_dodecanal,-0.74,-8.27,0
A8,1_formaldehyde,0.52,-5.49,0
A8,20_Citral,-0.37,-7.77,0
A8,21_cis-2-Octenal,-0.3,-7.23,0
A8,22_trans-2-Octenal,-0.33,-7.23,0
A8,23_4-Hydroxynonenal,-0.25,-7.49,0
A8,24_Tetradecanal,-1.14,-8.27,0
A8,25_hexadecanal,-1.24,-8.77,0
A8,26_trans-2-hexadecenal,-1.32,-8.78,0
A8,27_Benzaldehyde,-0.14,-6.95,0
A8,28_Phenylacetaldehyde,-0.09,-7.2,0
A8,29_Salicylaldehyde,-0.26,-7.0,0
A8,2_acetaldehyde,0.17,-5.73,0
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.45,-7.54,0
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-2.94,-9.62,0
A8,32_9-cis-Retinal,-2.98,-9.43,0
A8,33_11-cis-Retinol,-2.88,-9.41,0
A8,34_4-hydroxy-2-nonenal,-0.28,-7.44,0
A8,35_Cinnamaldehyde,-0.02,-7.51,0
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,-1.81,-8.58,0
A8,37_thiobenzaldehyde,0.0,-7.22,0
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.8,-6.64,0
A8,39_4-nitrobenzaldehyde,-0.61,-6.69,0
A8,3_propylaldehyde,0.13,-6.0,0
A8,40_Furan-2-carbaldehyde,-0.6,-7.95,0
A8,41_Indole-3-acetaldehyde,-0.22,-7.78,0
A8,42_Glutamate-5-semialdehyde,-0.2,-6.26,0
A8,43_Glutamate-1-semialdehyde,-0.28,-6.08,0
A8,44_glutarate semialdehyde,-0.24,-6.51,0
A8,45_adipate semialdehyde,-0.18,-6.75,0
A8,46_Succinic semialdehyde,-0.39,-6.2,0
A8,47_methylmalonate semialdehyde,-0.41,-6.23,0
A8,48_alpha-aminoadipate semialdehyde,-0.3,-6.53,0
A8,49_2-Aminomuconic semialdehyde,-0.49,-6.52,0
A8,4_malonaldehyde,-0.25,-5.99,0
A8,50_10-formyltetrahydrofolate,-1.21,-7.69,0
A8,51_6R-Tetrahydrofolic acid,-1.15,-7.51,0
A8,52_Triose phosphate,-0.53,-6.07,0
A8,53_Pyridoxal phosphate,-0.4,-6.65,0
A8,55_Ethanol,-0.12,-5.75,0
A8,56_S-hydroxy-methylglutathione,-1.31,-7.73,0
A8,57_S-3-oxopropylglutathione,-1.27,-7.22,0
A8,58_S-(4-oxobutan-2-yl)glutathione,-1.96,-8.42,0
A8,59_4-Hydroxynonenal_glutathione,-0.83,-8.24,0
A8,5_butyraldehyde,0.12,-6.24,0
A8,60_S-Formylglutathione,-1.18,-7.44,0
A8,6_amylaldehyde,0.15,-6.47,0
A8,7_glutaraldehyde,-0.21,-6.48,0
A8,8_hexanal,0.07,-6.77,0
A8,9_2-hydroxypropionaldehyde,-0.22,-6.03,0
A9,10_4-guanidinobutyraldehyde,-0.38,-5.98,0
A9,11_prop-2-enal,0.11,-5.93,0
A9,12_prop-2-ynal,-0.11,-5.91,0
A9,13_(2E)-but-2-enal,-0.23,-6.14,0
A9,14_trans-2-Hexenal,-0.25,-6.63,0
A9,15_heptanal,-0.43,-6.91,0
A9,16_octanaldehyde,-0.45,-7.13,0
A9,17_nonanal,-0.3,-7.4,0
A9,18_decanal,-0.48,-7.64,0
A9,19_dodecanal,-0.68,-8.06,0
A9,1_formaldehyde,0.21,-5.32,0
A9,20_Citral,-0.2,-7.65,0
A9,21_cis-2-Octenal,-0.59,-7.11,0
A9,22_trans-2-Octenal,-0.49,-7.16,0
A9,23_4-Hydroxynonenal,-0.09,-7.37,0
A9,24_Tetradecanal,-0.54,-8.35,0
A9,25_hexadecanal,-0.52,-8.6,0
A9,26_trans-2-hexadecenal,-0.82,-8.44,0
A9,27_Benzaldehyde,-0.14,-6.89,0
A9,28_Phenylacetaldehyde,-0.18,-7.16,0
A9,29_Salicylaldehyde,-0.79,-6.88,0
A9,2_acetaldehyde,0.14,-5.68,0
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.23,-7.44,0
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-0.91,-9.35,0
A9,32_9-cis-Retinal,-0.63,-9.37,0
A9,33_11-cis-Retinol,-1.13,-9.14,0
A9,34_4-hydroxy-2-nonenal,-0.31,-7.35,0
A9,35_Cinnamaldehyde,0.08,-7.42,0
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,-0.52,-8.32,0
A9,37_thiobenzaldehyde,-0.07,-7.17,0
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.84,-6.69,0
A9,39_4-nitrobenzaldehyde,-0.73,-6.63,0
A9,3_propylaldehyde,0.18,-5.93,0
A9,40_Furan-2-carbaldehyde,-0.91,-7.97,0
A9,41_Indole-3-acetaldehyde,-0.34,-7.59,0
A9,42_Glutamate-5-semialdehyde,-0.13,-6.34,0
A9,43_Glutamate-1-semialdehyde,-0.35,-6.25,0
A9,44_glutarate semialdehyde,-0.51,-6.43,0
A9,45_adipate semialdehyde,-0.16,-6.66,0
A9,46_Succinic semialdehyde,-0.19,-6.21,0
A9,47_methylmalonate semialdehyde,-0.27,-6.17,0
A9,48_alpha-aminoadipate semialdehyde,-0.46,-6.55,0
A9,49_2-Aminomuconic semialdehyde,-0.61,-6.46,0
A9,4_malonaldehyde,-0.21,-5.9,0
A9,50_10-formyltetrahydrofolate,-1.03,-8.05,0
A9,51_6R-Tetrahydrofolic acid,-0.49,-7.99,0
A9,52_Triose phosphate,-0.69,-6.11,0
A9,53_Pyridoxal phosphate,-0.67,-6.82,0
A9,55_Ethanol,-0.14,-5.7,0
A9,56_S-hydroxy-methylglutathione,-1.86,-7.47,0
A9,57_S-3-oxopropylglutathione,-1.85,-8.19,0
A9,58_S-(4-oxobutan-2-yl)glutathione,-2.36,-8.21,0
A9,59_4-Hydroxynonenal_glutathione,-1.58,-8.61,0
A9,5_butyraldehyde,-0.03,-6.2,0
A9,60_S-Formylglutathione,-1.09,-7.58,0
A9,6_amylaldehyde,-0.14,-6.4,0
A9,7_glutaraldehyde,-0.26,-6.4,0
A9,8_hexanal,-0.26,-6.65,0
A9,9_2-hydroxypropionaldehyde,-0.05,-5.94,0
